N_SQ_VO;C_COINSEE;C_DESI;C_LIAISON;L_VOIE;L_COURTMIN;L_LONGMIN;C_VOIE;B_FANTOIR;B_OFF;C_VOIE_VP;Geometry;OBJECTID;C_DOMOFF;N_SQ_CO;LENGTH;Geometry X Y
750004827;75056;RUE;DE;DUNKERQUE;R. de Dunkerque;Rue de Dunkerque;750562990;O;O;3019;"{""coordinates"": [[[2.3586661698826776, 48.87926240701119], [2.3579478326777443, 48.8794077648413], [2.357630034166642, 48.8794553973949]], [[2.3571843455070765, 48.87952545530718], [2.355940297476162, 48.87976280273775], [2.355831910212275, 48.879807977594915], [2.354793354943092, 48.88003052744062]], [[2.344698520486505, 48.88272513390332], [2.3445945752459587, 48.88278880410842], [2.3445040398510013, 48.882806519903326]], [[2.352014654397184, 48.880638900614315], [2.351960045295685, 48.880649738754514], [2.351166034641648, 48.88080479972612]], [[2.357630034166642, 48.8794553973949], [2.3571843455070765, 48.87952545530718]], [[2.346599407747485, 48.882000787921505], [2.3456969569411954, 48.882348783750906]], [[2.34982948786732, 48.88108939081853], [2.346599407747485, 48.882000787921505]], [[2.351166034641648, 48.88080479972612], [2.34982948786732, 48.88108939081853]], [[2.3536895395373874, 48.88025679895234], [2.3526409419792516, 48.88045207113463], [2.352584754156938, 48.88046269417689]], [[2.355940297476162, 48.87976280273775], [2.3558845755674223, 48.87970830920372], [2.3548866949689007, 48.87982204369113], [2.3546667575616014, 48.87979552414566]], [[2.3456969569411954, 48.882348783750906], [2.344698520486505, 48.88272513390332]], [[2.353673216240161, 48.88015804513361], [2.35450562176037, 48.879917063524964], [2.3546667575616014, 48.87979552414566]]], ""type"": ""MultiLineString""}";3286;P;750001537;;48.88072995447816, 2.3518031909870682
750006422;75056;RUE;DE LA;FIDELITE;R. de la Fidélité;Rue de la Fidélité;750563638;O;O;3652;"{""coordinates"": [[[2.357152715772888, 48.87448128910775], [2.357108640688241, 48.874542854785304], [2.3569710598889055, 48.8746455664427], [2.355876911264244, 48.8744221075086], [2.3555326603938234, 48.87436425294498], [2.355393868629244, 48.874355285700204]], [[2.35728752939545, 48.8749353323114], [2.357249877860744, 48.87480890836423], [2.357215263597952, 48.874758980230624], [2.3571525132310214, 48.87469764130323], [2.3569710598889055, 48.8746455664427]]], ""type"": ""MultiLineString""}";3294;P;750001537;;48.87455033440251, 2.3564766276704328
750005802;75056;RUE;;FAVART;R. Favart;Rue Favart;750563534;O;O;3556;"{""coordinates"": [[2.337759416602511, 48.870244642376605], [2.3377594131725896, 48.87024491216004], [2.337946864460797, 48.87070193313589], [2.337973172545788, 48.8707665793857], [2.3380004348286545, 48.87083123989637], [2.338158165176086, 48.87120173221829], [2.3382765059197586, 48.87148572373099], [2.3382808643802973, 48.87151288092516], [2.3383081685014058, 48.87168270140732]], ""type"": ""LineString""}";3298;P;750001537;;48.87095853032989, 2.338052325936634
750002039;75056;RUE;;ALEXANDRE CABANEL;R. Alexandre Cabanel;Rue Alexandre Cabanel;750560148;O;O;0175;"{""coordinates"": [[2.3024852655910233, 48.847789385636666], [2.3029747076891693, 48.84811655740059], [2.303029080806419, 48.848166429053585], [2.302459817657565, 48.848524889077275], [2.302088475993138, 48.84876083870086], [2.301987239365398, 48.84875568834657], [2.3014440987990485, 48.848386360857035], [2.301175945840737, 48.84819401304211]], ""type"": ""LineString""}";3304;P;750001537;;48.84836523490226, 2.3022495273907966
750001989;75056;SQ;;ANDRE LICHTENBERGER;Sq. André Lichtenberger;Square André Lichtenberger;750560328;O;O;0321;"{""coordinates"": [[2.3112103969606688, 48.827665026802336], [2.310898368517089, 48.8277160767456], [2.3107345486094824, 48.82744540006546], [2.3104521180321735, 48.827506980275054], [2.310245101302441, 48.82708742241828]], ""type"": ""LineString""}";3331;V;750001537;;48.82748850704775, 2.310666650877424
750000868;75056;AV;;PRUDHON;Av. Prudhon;Avenue Prudhon;750567873;O;O;7854;"{""coordinates"": [[2.270125201754474, 48.85851087983274], [2.2703806306121668, 48.8584132743032], [2.27032000002308, 48.858363979546276], [2.2702096956444833, 48.85838910947294], [2.270125201754474, 48.85851087983274], [2.2699424139999658, 48.858618614087604], [2.2682031786276027, 48.85974699094503]], ""type"": ""LineString""}";3349;P;750001537;;48.858979202583726, 2.2693914388928276
750003510;75056;RUE;;EUGENE VARLIN;R. Eugène Varlin;Rue Eugène Varlin;750563442;O;O;3468;"{""coordinates"": [[2.3654032735524093, 48.87770208420844], [2.3653547813828744, 48.87776082337162], [2.364927947193434, 48.87810822931954], [2.364559989235418, 48.87839033091038], [2.3642013721641346, 48.878582682613654], [2.362895569287449, 48.87924710979578]], ""type"": ""LineString""}";3362;P;750001537;;48.87853929163929, 2.3641929274723643
750002121;75056;RTE;DES;MERISIERS;Rte. des Merisiers;Route des Merisiers;75056R635;O;O;Z635;"{""coordinates"": [[2.4654039731200683, 48.831473446006335], [2.464068863031115, 48.83163114576222], [2.457124921882121, 48.83246600437169]], ""type"": ""LineString""}";3373;P;750001537;;48.831968559919126, 2.4612643086326726
750003421;75056;IMP;;GROS;Imp. Gros;Impasse Gros;750564344;O;O;4308;"{""coordinates"": [[2.4040542058480714, 48.85587454697874], [2.4037262136013036, 48.85565025264206]], ""type"": ""LineString""}";3376;O;750001537;;48.8557623998104, 2.4038902097246875
750001411;75056;RUE;;HALLE;R. Hallé;Rue Hallé;750564458;O;O;4409;"{""coordinates"": [[[2.3309966624476033, 48.83008328452753], [2.3309893448041845, 48.830025090033615], [2.3310487467137846, 48.82969110672755], [2.3310437131374124, 48.82962264513695], [2.3311323054360535, 48.82899571853568], [2.3311509920185354, 48.82893436871992], [2.3312388617830457, 48.828412421778566]], [[2.334421641220544, 48.830649393286635], [2.3343130319649084, 48.83073767392705], [2.3341008838551356, 48.83073476613211], [2.333867401555559, 48.83074155130538]], [[2.3336009534337174, 48.8307248225889], [2.332867867918141, 48.830701426089625], [2.3320191343797463, 48.83067217186142], [2.3314001990010875, 48.830645167797215], [2.331258136433637, 48.83057240561942], [2.331035882899181, 48.83022859999866], [2.331017440940709, 48.83019759433737]]], ""type"": ""MultiLineString""}";3408;P;750001537;;48.83018372209804, 2.332070370130172
750002418;75056;RUE;;BARON LE ROY;R. Baron Le Roy;Rue Baron Le Roy;750560677;O;O;0664;"{""coordinates"": [[[2.3902475778292827, 48.83288639826059], [2.3908223850253743, 48.83243444544461], [2.390928851965287, 48.83236883920818], [2.390984028486936, 48.83237435449353], [2.391029825600889, 48.832423603191415], [2.39096972734914, 48.83250469890087], [2.3904140011343853, 48.832937314328454], [2.390264782625715, 48.832986657444536], [2.39027675054086, 48.832927836911715], [2.3902475778292827, 48.83288639826059]], [[2.3901109937995386, 48.832998113728706], [2.3900962087132127, 48.83295654155266], [2.3901130128179804, 48.83291520240521], [2.390161137619402, 48.83288656012907], [2.3902475778292827, 48.83288639826059]], [[2.3901109937995386, 48.832998113728706], [2.390192574660083, 48.8330057695984], [2.390264782625715, 48.832986657444536]], [[2.3864517656641144, 48.835912347899935], [2.3873467235726817, 48.835196579859144], [2.387908428384082, 48.8347474975464], [2.3889857541652373, 48.83388487498481], [2.389128537757507, 48.833772320143986], [2.389386065206493, 48.83356592649477], [2.3897335041551733, 48.83328734022335], [2.3901109937995386, 48.832998113728706]]], ""type"": ""MultiLineString""}";3418;P;750001537;;48.83385838468056, 2.389059305367574
750006436;75056;IMP;;DRUINOT;Imp. Druinot;Impasse Druinot;750562935;O;O;2958;"{""coordinates"": [[2.3812075519841325, 48.849795908194736], [2.380252297418529, 48.849916909467616], [2.3798680897529, 48.84996557932658]], ""type"": ""LineString""}";3430;P;750001537;;48.84988074284644, 2.3805378207527115
750005337;75056;PAS;;DUBOIS;Pas. Dubois;Passage Dubois;750562942;O;O;2966;"{""coordinates"": [[2.382566481314585, 48.884886600618614], [2.3828422168344536, 48.88441007567584], [2.382874233529085, 48.884357306391536], [2.3829490498499872, 48.88429348013659]], ""type"": ""LineString""}";3434;P;750001537;;48.88458065892396, 2.3827464017783724
