L_LONGMIN;Geometry;display;catégorie;;;
Rue Villaret de Joyeuse;"{""coordinates"": [[2.289209129398672, 48.87605394528123], [2.2899440099616104, 48.87695140618605], [2.2904557735461597, 48.87641113977089]], ""type"": ""LineString""}";true;personne;;;
Souterrain Tolbiac;"{""coordinates"": [[[2.3841010142952035, 48.83227533435244], [2.382512656144215, 48.83352732932712], [2.3823595277279908, 48.833652926721626], [2.3822108319191106, 48.83376769144715], [2.3809353834070017, 48.83476634574997], [2.380155893040825, 48.83519750303405]], [[2.3835858280800823, 48.83248228696004], [2.382372971724853, 48.833449595302504], [2.382220785645709, 48.83357843511589], [2.3820813469925186, 48.83369605352689], [2.381535835999382, 48.834137611171904], [2.380953094527305, 48.834618320794206], [2.3801500403683127, 48.83504351924206]]], ""type"": ""MultiLineString""}";true;bataille;;;
Rue Laure Diebold;"{""coordinates"": [[2.3049956916532497, 48.87512230953169], [2.3052847229675706, 48.8753595065842], [2.305699669093671, 48.875700083932756], [2.3058768488059935, 48.875845284646935], [2.305483228734298, 48.87606572314179], [2.3051129868399616, 48.876273003784675], [2.305061205572436, 48.876229885626806], [2.3045476166436916, 48.87580335883642], [2.30414806386625, 48.87547142869099]], ""type"": ""LineString""}";true;résistant;;;
Rue Clisson;"{""coordinates"": [[2.3696620012534813, 48.833271275220355], [2.368428798509987, 48.83259474000312], [2.367647879887287, 48.83217077923656], [2.366900769269865, 48.83171564007343], [2.366509046945186, 48.831477912968616], [2.3663780202537708, 48.83137731685392], [2.3663625629963727, 48.83128056165706], [2.3663361938539316, 48.83113002924467], [2.3659919117198807, 48.83053839740377], [2.3653954638077983, 48.82943512298612], [2.3652659595844407, 48.829195535568346]], ""type"": ""LineString""}";true;personne;;;
Avenue Dode de la Brunerie;"{""coordinates"": [[2.2588398185409226, 48.83617307255399], [2.2588084869140763, 48.83624562001747], [2.2574604608052447, 48.83629438763648], [2.257399639942341, 48.83625441047892], [2.2571296310995352, 48.836274885508054], [2.2571211477640603, 48.83627552534098], [2.256925302244726, 48.8363327593548], [2.2567960437652035, 48.8364086731482], [2.2567691744680274, 48.836511080141015], [2.2567689750264606, 48.83651169047808], [2.2566578414913914, 48.83686809744971], [2.2566157468603762, 48.8370244532888]], ""type"": ""LineString""}";true;personne;;;
Pont de l'Alma;"{""coordinates"": [[[2.3019266458605454, 48.862480284659505], [2.3018991195675786, 48.862886567844754], [2.301897089322393, 48.86290685435265], [2.3018558777801443, 48.86347887080433], [2.3018089525613785, 48.86409471491857], [2.301864005978288, 48.86420382144663]], [[2.301541997173568, 48.864164799464056], [2.3015900620737733, 48.86347435201005], [2.3016346011894693, 48.862874978804655], [2.301654525840672, 48.862477671799894]]], ""type"": ""MultiLineString""}";true;bataille;;;
Rue Salneuve;"{""coordinates"": [[2.314813885175822, 48.884487117725904], [2.314770668506442, 48.884562926907016], [2.3145836148622165, 48.884910976856254], [2.3144012391888142, 48.88526811846559], [2.3141059145847027, 48.88589275726738], [2.3140185488067493, 48.88612619970012]], ""type"": ""LineString""}";true;personne;;;
Square Rapp;"{""coordinates"": [[2.300509929915749, 48.858756425776], [2.3010074194352996, 48.85869371583198], [2.3011700282968954, 48.858736116793224]], ""type"": ""LineString""}";true;personne;;;
Rue de Madagascar;"{""coordinates"": [[2.3968570105027522, 48.83460516897604], [2.3969753876176774, 48.83461319460073], [2.397726344992226, 48.83536405339126], [2.3978532537837047, 48.83542620885181]], ""type"": ""LineString""}";true;guerre;???;;
Rue Jacques Kellner;"{""coordinates"": [[2.3283568542967807, 48.895755762136886], [2.3275143669897695, 48.89576078278257], [2.3269517579272665, 48.89580426096507], [2.326750534766755, 48.895810432380294], [2.3258860580986522, 48.89608942217906], [2.32549049371278, 48.89627364220098], [2.3252476107467945, 48.89639047176441], [2.3251231385378626, 48.89646695013341], [2.3248980459814543, 48.89666432350562], [2.324639674689769, 48.89691078255708], [2.324454651274008, 48.89713558544626], [2.324338142096675, 48.89731293971415], [2.3243323936230995, 48.897369105826016], [2.3242004537084977, 48.897522513897144]], ""type"": ""LineString""}";true;résistant;;;
Place des Pyramides;"{""coordinates"": [[2.3322704900948428, 48.86369386288089], [2.332446255426475, 48.86392859273716], [2.3322754361823628, 48.86398967677242], [2.3320801683028876, 48.86404282678102], [2.331906870338021, 48.86381137480856]], ""type"": ""LineString""}";true;bataille;;;
Rue du Général Beuret;"{""coordinates"": [[2.3028888186633254, 48.841709769339474], [2.3028223326487938, 48.8416339159074], [2.302127502636248, 48.840021990920285], [2.3020794948150294, 48.839841378255855]], ""type"": ""LineString""}";true;personne;;;
Rue de Duras;"{""coordinates"": [[2.317463795578252, 48.87045764100672], [2.318180988403638, 48.871179242246875]], ""type"": ""LineString""}";true;personne;;;
Rue Crillon;"{""coordinates"": [[2.3649470208454826, 48.848212729088544], [2.365045041719608, 48.84830434518137], [2.3650450384323864, 48.84830461497095], [2.365089346540653, 48.8483465982479], [2.3651216720114863, 48.84839901341307], [2.365318669594619, 48.84883061650223], [2.3655907202107374, 48.84942645271749], [2.3656341035379684, 48.8495109343887], [2.3659420474869792, 48.85020158085574], [2.3659505925242046, 48.85037513869987], [2.3659506017741334, 48.85037549849088], [2.3659490095302704, 48.85046155831671]], ""type"": ""LineString""}";true;personne;;;
Passage Choiseul;"{""coordinates"": [[2.3351089559382894, 48.867176634353115], [2.335134423930663, 48.867226581512035], [2.335560373747324, 48.86806977938541], [2.335948027986242, 48.868832918915544], [2.3359395778958727, 48.868878738514404]], ""type"": ""LineString""}";true;personne;;;
Rue Broussais;"{""coordinates"": [[2.336727003524571, 48.830887817387364], [2.3366971868657767, 48.83037044926727], [2.3365235447348707, 48.8278248759436], [2.3366980133495865, 48.82719637941478]], ""type"": ""LineString""}";true;personne;;;
